time,time_s,target_x_deg,target_y_deg,gimbal_pitch_rad,held_gimbal_pitch_rad,orientation_x,orientation_y,orientation_z,orientation_w,position_x_m,position_y_m,position_z_m,velocity_x_mps,velocity_y_mps,velocity_z_mps,angular_x_radps,angular_y_radps,angular_z_radps,world_los_x,world_los_y,world_los_z,world_los,world_az_deg,world_el_deg,held_world_az_deg,held_world_el_deg,forward_world_x,forward_world_y,forward_world_z,gimbal_offset_s,attitude_offset_s,ground_hit_valid,ground_hit_x_m,ground_hit_y_m,ground_hit_z_m,world_az_unwrapped_deg,az_rate_gradient_deg_s,el_rate_gradient_deg_s,az_rate_savgol_deg_s,el_rate_savgol_deg_s,az_rate_local_polynomial_deg_s,el_rate_local_polynomial_deg_s,az_rate_spline_deg_s,el_rate_spline_deg_s
1769096173.509847,0.0,3.307965994,19.07455444,-0.132623762,-0.132623762,-0.07093381877324137,-0.06309788725290938,0.9723785119093096,0.21323010940179382,274.14985383642966,164.62491048038376,121.90112147757401,0.15679763328156418,-0.17396706661530195,0.21025773313033003,-0.01112370036495528,0.08138711900442001,0.02086398352054011,-0.8344097489115212,-0.41566235880311836,-0.3619187400448344,[-0.83440975 -0.41566236 -0.36191874],-153.51974646404284,-21.218079265032916,-153.51550112691817,-21.205671834664464,-0.8990026275974882,-0.4057292047500065,-0.164857781089458,0.0029070377349853516,0.0015518665313720703,True,-6.8952342171342025,24.62191509021156,1.4210854715202004e-14,-153.51974646404284,-3.2461742302531063,-14.129380185209492,2.425725665087208,-7.70590016699513,-2.7836689600401403,-9.700540516783114,-0.9949892777059589,-9.339937693406286
1769096173.528413,0.018566131591796875,3.307965994,19.07455444,-0.12975368419714103,-0.132623762,-0.0718007022643158,-0.06323945707934688,0.9723899044457585,0.21284572806290816,274.15381259599314,164.62039722749128,121.90662745931175,0.138257042074494,-0.16537513507515864,0.20662089592228297,0.022317744178020515,0.01984980581376508,0.021131672269846247,-0.8333538004494393,-0.4140427803646165,-0.36618304071108315,[-0.8333538  -0.41404278 -0.36618304],-153.58001536197162,-21.480407196862043,-153.55313963508016,-21.315644740624236,-0.8990827103994434,-0.404856799487336,-0.166557052596586,0.0023038387298583984,0.0063631534576416016,True,-3.279437987958829,26.780701319916062,1.4210854715202004e-14,-153.58001536197162,-1.3852329911387642,-8.881893691083633,1.1174257769903264,-8.101756098247018,-1.0401348584768264,-7.775508264860112,-1.6263158646843994,-8.924518342290192
1769096173.547983,0.03813600540161133,3.364834309,18.90236855,-0.12563562089870586,-0.126037434,-0.07180951768031127,-0.06316565613875419,0.9724792052753818,0.21245632106869328,274.1569574187654,164.61647055632895,121.9125310462144,0.12983856830360913,-0.17573894900484446,0.18738469483450984,0.03728231749010347,-0.01006334553138517,0.033693792597044886,-0.8328964596275864,-0.4140199992874959,-0.3672477743020571,[-0.83289646 -0.41402    -0.36724777],-153.56873692159252,-21.545980206426844,-153.54842470408158,-21.52829783755659,-0.8994114096169549,-0.4041469179346597,-0.16650641121217485,0.002379894256591797,0.006858110427856445,True,-2.3335282910657043,27.177309453677765,1.4210854715202004e-14,-153.56873692159252,0.7930967262468585,-2.960193970731325,-0.18389926124214595,-8.401230252677049,-0.19217772877564343,-7.5693830430885285,-2.2713673140609414,-8.531536821276532
1769096173.568356,0.058509111404418945,3.436696291,18.74484062,-0.12182533988552005,-0.122743428,-0.07174936725064202,-0.06295818834441227,0.9726001487710816,0.21198406881176712,274.1649115994868,164.61299783235074,121.93570737798329,0.141522413327028,-0.18995401839833181,0.2006279664677806,0.0961115042287517,0.007683706262331931,0.07093410363727946,-0.8324475246265127,-0.41417297816157156,-0.3680921934841403,[-0.83244752 -0.41417298 -0.36809219],-153.547981318829,-21.59800593704622,-153.5115977675146,-21.555505204554375,-0.899829565738281,-0.40331705337293117,-0.16625915638494296,0.003242969512939453,0.0040929317474365234,True,-1.595019111346062,27.41238352170464,-1.4210854715202004e-14,-153.547981318829,-0.7005760163356172,-8.848164313347752,-1.4529533033524167,-8.5831212858481,-0.5019277961032946,-7.699375653039464,-2.9206436923866135,-8.17137969811146
1769096173.58909,0.07924318313598633,3.467683554,18.8316803,-0.11662838170428466,-0.117799103,-0.071370946295136,-0.06211641539935246,0.9728190696125121,0.21135467054484147,274.1670009658045,164.61237500560625,121.94189806882427,0.14503518298216592,-0.19024190333269875,0.20837398011367864,0.10876641928405435,-0.04439437224869253,0.03458423604693757,-0.830981780080839,-0.41252485011987927,-0.37321914367734643,[-0.83098178 -0.41252485 -0.37321914],-153.59878787381513,-21.914287735797355,-153.59325643193966,-21.848575075195026,-0.9004707825276368,-0.4023530932203563,-0.16511922416871086,0.006512165069580078,0.00026702880859375,True,2.660307806274602,29.82812270673719,1.4210854715202004e-14,-153.59878787381513,-1.8806657933027964,-10.96431149118564,-2.6539383764897773,-8.630977283865523,-1.949050524995931,-8.170124346988178,-3.558118765008846,-7.856114932267664
1769096173.607865,0.09801816940307617,3.467683554,18.8316803,-0.11298357629932382,-0.114500947,-0.07087346774875024,-0.06147164075722697,0.972947832738422,0.21111774847579437,274.1697617725661,164.60873330478566,121.94536219505022,0.1502385261389527,-0.19698078682498524,0.17023007405293333,0.1309368839954047,-0.08711131264515634,0.000514831186437345,-0.8303882392187746,-0.4117674179893867,-0.37537043790034463,[-0.83038824 -0.41176742 -0.37537044],-153.6244114685136,-22.047210006870497,-153.6084794216755,-22.036706430302058,-0.9008124956955561,-0.4020996949669387,-0.16386788247316325,0.006941080093383789,0.0027489662170410156,True,4.404259831448826,30.83920364308318,0.0,-153.6244114685136,-1.6002634379701703,-6.50493369942933,-3.658436544019026,-8.548487904859606,-3.3808764073271647,-8.679193514627903,-4.115078583707291,-7.61526224007828
1769096173.628799,0.11895203590393066,3.481433392,18.75983048,-0.10648325306008889,-0.111201957,-0.0696449533740912,-0.06013752387224376,0.9732471881007791,0.210530210530372,274.1743269991376,164.60245612761105,121.94997840313992,0.14412590928227464,-0.21192865132035885,0.12544322344340905,0.15492213440798727,-0.07977297991526552,0.06578450148366372,-0.8299456387119597,-0.4108444126605252,-0.3773554098838729,[-0.82994564 -0.41084441 -0.37735541],-153.66340774919286,-22.169966561870147,-153.6189194727623,-21.961849898502585,-0.901653221847116,-0.4014193207256677,-0.16088504119668579,0.0006270408630371094,0.00716400146484375,True,5.960727655615472,31.829833982296492,0.0,-153.66340774919286,-5.088352280091385,-8.708775066704789,-4.693686263883978,-8.328048551964509,-5.350628619695669,-9.711441605212674,-4.713352368367876,-7.396721260145103
1769096173.648346,0.13849902153015137,3.408740759,18.85971069,-0.10203628997567776,-0.106251806,-0.06875068047031466,-0.05935822820830839,0.9734973717205339,0.20988761738619052,274.1771871674512,164.59813831407587,121.95229258897588,0.14462923841672526,-0.22644007856773726,0.09190986406753121,0.16511069646731305,-0.08072812934885469,0.08386441018312932,-0.8297585321545082,-0.40790078566908006,-0.3809432075353798,[-0.82975853 -0.40790079 -0.38094321],-153.82174184668983,-22.392119343320985,-153.77877238822452,-22.197012195073473,-0.9024410640056336,-0.40048825060261617,-0.15877432766551433,0.0033121109008789062,0.010233879089355469,True,8.544533034596782,34.01584946576028,0.0,-153.82174184668983,-8.68472306315607,-7.736699182918642,-5.5731357828815025,-7.990017512419088,-6.539963163645783,-8.907020726938097,-5.2503541751312905,-7.2402602248307035
1769096173.668532,0.15868496894836426,3.288715124,18.77174187,-0.09717636203906267,-0.101298325,-0.0680663958692029,-0.058652551870202484,0.9737200319335932,0.2092752812057182,274.1792603,164.5948792,121.9534836,0.151931718,-0.242378861,0.059833363,0.13488161215464733,-0.06414399254884766,0.07100328318918576,-0.8306067708993283,-0.4049482514129268,-0.3822424699242666,[-0.83060677 -0.40494825 -0.38224247],-154.00923648001813,-22.472655752346025,-153.98477031699971,-22.250959833378083,-0.9031416448592892,-0.39956653136841497,-0.15710428489086892,0.003414154052734375,0.0009119510650634766,True,9.17629180989536,35.39717401742408,0.0,-154.00923648001813,-9.348917724969397,-11.298001621976937,-6.396672230293062,-7.512611067847642,-7.4845233225749705,-7.589282228023112,-5.782979341783188,-7.126933982440651
1769096173.688259,0.17841196060180664,3.288715124,18.77174187,-0.08887298675952325,-0.091383874,-0.06734174683040149,-0.05784666562415554,0.9741293738855795,0.20782400088364758,274.1823077246606,164.58998003190243,121.95426804717415,0.16267873599666646,-0.2633022818164123,0.014525605219515935,0.10870890289400345,-0.03592663512547417,0.07399844781821317,-0.8297125400965376,-0.40119108718803353,-0.38810154904024224,[-0.82971254 -0.40119109 -0.38810155],-154.1948296884103,-22.83642370554338,-154.18276508742915,-22.701874863054464,-0.9045485475810877,-0.39710393669547794,-0.15524299832810154,0.008012056350708008,0.000926971435546875,True,13.459345481232901,38.52254869579761,0.0,-154.1948296884103,-6.232971010820165,-13.580575690656815,-7.11630421971462,-6.916946408697814,-7.031635926324711,-5.12017058535317,-6.281965626335812,-7.063550245292014
1769096173.711212,0.20136499404907227,3.288715124,18.77174187,-0.0820306621606394,-0.086422905,-0.06595980888367013,-0.05600543874531191,0.9744911242544674,0.20707424560345314,274.18690199525764,164.58239882045393,121.95468851168708,0.16382850721486392,-0.27948056561062407,-0.033677824428689246,0.11477693861070043,-0.04740107676442557,0.08193426711476312,-0.8290059255367399,-0.39980972689367184,-0.3910260320057748,[-0.82900593 -0.39980973 -0.39102603],-154.25309864930097,-23.018357183159786,-154.22947767696007,-22.808725792940102,-0.9055391208395812,-0.3961958127323358,-0.15174906458506676,0.0019431114196777344,0.005213022232055664,True,15.633375764341963,39.88821808483388,0.0,-154.25309864930097,-7.182287829270535,5.982268626713449,-7.848695440898073,-6.0648284631180465,-6.721082569728045,-4.945499968689998,-6.835767073731156,-7.048733706109427
1769096173.730622,0.22077512741088867,3.074122429,18.25099945,-0.07680592009706627,-0.08145944,-0.0652886260766022,-0.05492340956181609,0.9747000857023835,0.2065927329769874,274.18994221532694,164.5771473264776,121.95384998121253,0.15854760972426002,-0.278395749687751,-0.05779659432936138,0.08824823914394214,-0.06364421407676786,0.07617382061252499,-0.8326106950961903,-0.39769287460871366,-0.38548645617829,[-0.8326107  -0.39769287 -0.38548646],-154.46872946919413,-22.67394337432344,-154.43933930220456,-22.43321893901647,-0.9061136759722576,-0.39556016117685155,-0.14996721343609004,0.0011758804321289062,0.009012937545776367,True,10.782296693402486,38.76163191392939,0.0,-154.46872946919413,-6.186229513938088,5.45080433121143,-8.384692369907254,-5.1916463261647605,-6.899000179568761,-5.896527166523013,-7.28160335144656,-7.085670293077535
1769096173.748132,0.23828506469726562,3.074122429,18.25099945,-0.07422708171444732,-0.076492645,-0.06495746543897093,-0.05454403813539516,0.9748003134201167,0.2063245611740678,274.1913074196504,164.57474399463533,121.95331665822785,0.15626970267992765,-0.278126304384569,-0.06832589658529234,0.06476643679987945,-0.06016280931344183,0.08093811389451477,-0.832221859107059,-0.39696215810389285,-0.3870759902885873,[-0.83222186 -0.39696216 -0.38707599],-154.4992880656269,-22.77268088882299,-154.4596409675094,-22.716807101291423,-0.9064214062801464,-0.39516440885333504,-0.1491486648036646,0.016334056854248047,0.011053085327148438,True,11.989004874576551,39.506661801047215,1.4210854715202004e-14,-154.4992880656269,-3.469634675843281,-9.057410658359004,-8.84692425002513,-3.968415075832299,-7.69847453698026,-6.457040469600095,-7.666117117561382,-6.736267454183659
