time_s,x_m,y_m,z_m,range_median_m,residual_rms_m,positive_range_ratio,condition_number
0.07924318313598633,272.1982130979163,163.63592855552636,121.05178072620923,2.371044104911717,0.010711296316789513,1.0,17516.021459831667
0.17841196060180664,273.0672993188164,164.04810420888302,121.43616276693076,1.3436096690283974,0.009550873150536505,1.0,15277.593019185537
0.27823400497436523,272.7563569050698,163.88914056175284,121.2891809432749,1.7339787687154722,0.0087508737762169,1.0,10305.34871264422
0.3779871463775635,273.1440458520194,164.0600308671662,121.47796027721179,1.2710424521489112,0.005981389241483189,1.0,9207.51347192964
0.47800207138061523,272.76261860540103,163.88886318072454,121.31972560966277,1.7248706092758905,0.013144202452234714,1.0,11931.598375458047
0.5782730579376221,273.235795523962,164.08411323853096,121.54188866513195,1.1681634994829266,0.00709259550410402,1.0,7407.0342750033915
0.6784820556640625,272.24590875928186,163.70027570185542,121.10091046020361,2.3208043340712856,0.01534259809781696,1.0,13650.334787545653
0.7786331176757812,272.9215540038398,163.95330345294477,121.42725393655994,1.5352009815933096,0.005035298207582227,1.0,14577.905460450502
0.8783071041107178,272.8468652746313,163.91468925152589,121.40775757874322,1.6206127639587369,0.018995792355662573,1.0,39354.59072512827
0.9788739681243896,272.5990990965565,163.80717940424876,121.30047112678048,1.9078850797381832,0.013837703877503783,1.0,62444.095213867135
1.279008150100708,272.8176801293459,163.78230157699667,121.35451051697072,1.665728888321365,0.013440932216631438,1.0,51484.081145877084
1.4786980152130127,272.15518369373217,163.50096431050468,121.03549480426653,2.4468397506346067,0.014066505704996327,1.0,27933.98960499462
1.5801119804382324,272.91984285885803,163.74818579306069,121.41336958834245,1.5536908745442166,0.007835627623904887,1.0,19321.022685944634
1.6788179874420166,274.1449923158682,164.13472168536748,122.0184810286199,0.1273456903021284,0.016910991513114565,1.0,30124.33083836898
1.878026008605957,274.06853927216156,164.04063685602077,121.98851849021013,0.21568912547063956,0.01785591246830495,1.0,9091.156510003017
1.9782111644744873,273.4872919427376,163.81115767463788,121.73327034222272,0.8837304087778676,0.0169794299249115,1.0,54461.39822982358
2.2784230709075928,272.6605295680426,163.40450787861863,121.30309326496726,1.8273253617824539,0.029996408722388773,1.0,58446.555210597086
2.3781189918518066,268.4073741676058,161.8832166008153,119.49837939948748,6.651678522016672,0.0282881317262788,1.0,62614.413660518454
2.478391170501709,269.9250038520394,162.35295459514867,120.08866589915418,4.897325155276081,0.041269531757433704,1.0,41046.49035220369
2.5869300365448,271.61818048583314,162.8867229073154,120.7188881432927,2.9675404380959733,0.040147968660257875,1.0,84008.02311839633
2.979793071746826,270.44019479912185,162.23028304264477,119.81778652987873,4.145909705053609,0.038283281283331805,1.0,47272.97589022699
3.0780181884765625,270.3321331150938,162.12338739442657,119.74807672402187,4.194010912289219,0.03452729650778654,1.0,24175.58280027263
3.1793100833892822,265.92933645255914,160.510797239893,118.0367466903862,9.079362287469285,0.03472692531167905,1.0,72710.70004660725
3.4788830280303955,264.57140996444843,159.7626437470675,117.18987535603206,10.270578951972778,0.04684985817412085,1.0,89041.29348276263
3.6789729595184326,270.00945828105375,161.56538925675721,119.13077700259727,3.8139252643460377,0.04107433675902024,1.0,123091.12188351614
3.779208183288574,271.28472168059443,161.96002101276815,119.56745800973262,2.175380340757442,0.04180584354021262,1.0,34926.901252133655
4.082540035247803,253.9065419981741,155.186303639739,112.75232955873251,21.176606331667468,0.029797830906194932,1.0,453684.2323285913
4.178336143493652,258.9931181988865,157.08248436888408,114.64980016786009,15.163718651047706,0.023915723062540528,1.0,160791.13184025115
4.279124021530151,261.65015556165497,158.0740306901315,115.61941609166888,11.757298288058857,0.018470349761160385,1.0,84155.21997957052
4.677963018417358,266.90143574080594,159.72367415345408,117.24514396900443,4.44350801661263,0.05696037748877009,1.0,70687.42652530229
4.779045104980469,268.0518559808204,160.074194962454,117.59820386116658,2.763662276460187,0.0441858748504896,1.0,26175.421909099772
5.280683994293213,266.4282709513866,159.03217147974343,116.74854152807612,2.2307220687452176,0.026722139880458122,1.0,173881.66342607033
5.381752014160156,262.534762743784,157.35575698994566,115.27226706695004,6.1512865206344,0.013890946005915734,1.0,53229.2674116635
5.478556156158447,261.9304914334448,157.09446325623895,115.04711969304665,6.257330619437475,0.02034460467995045,1.0,27259.59896660798
5.578986167907715,261.630784036883,156.94442844906135,114.92191681637901,6.059977223204777,0.02462295977815262,1.0,37071.36354138947
5.678184986114502,264.4932721884238,158.02836545240058,115.97307707489358,2.07409701738484,0.03615009310679625,1.0,17689.57416346768
5.779213190078735,264.00649156532114,157.76616268282822,115.76724536698414,2.155449616051539,0.04455809903737811,1.0,334777.4697971946
5.878779172897339,264.9628419393474,158.08333411957125,116.0392927160578,0.44420915827638263,0.04051336435312229,0.7777777777777778,533833.1271076818
5.980273962020874,260.833798737754,156.37579790564862,114.53024550115622,4.439219403573171,0.039927688032041025,1.0,147620.21453758166
6.083696126937866,252.63718813401292,153.10333607585434,111.60614722642062,12.939072780690225,0.018001431130391092,1.0,105916.74782150815
