time_s,target_x_m,target_y_m,target_z_m,target_vx_mps,target_vy_mps,target_vz_mps,interceptor_x_m,interceptor_y_m,interceptor_z_m,interceptor_vx_mps,interceptor_vy_mps,interceptor_vz_mps,commanded_ax_mps2,commanded_ay_mps2,commanded_az_mps2,applied_ax_mps2,applied_ay_mps2,applied_az_mps2,distance_m,closing_speed_mps,los_rate_norm_radps
0.0,800.0,200.0,300.0,11.851899951802347,2.9629749879505867,4.44446248192588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.4964387392122,0.0,6.087569352839962e-19
0.05,800.5925949975901,200.14814874939754,300.2222231240963,11.851899951802347,2.9629749879505867,4.44446248192588,0.00625,0.0025000000000000005,0.021367608086182113,0.125,0.05,0.42735216172364227,22.79211529192759,5.698028822981898,8.547043234472845,2.5,1.0,8.547043234472845,878.1328658935741,0.0,0.00040563577168143035
0.1,801.1851899951803,200.29629749879507,300.44444624819255,11.851899951802347,2.9629749879505867,4.44446248192588,0.018750000000000003,0.0075000000000000015,0.06276615820865379,0.25,0.1,0.8279710024494334,22.63603964351898,5.635545720727366,8.012376814515823,2.5,1.0,8.012376814515823,878.7561781926462,0.0,0.0007818911079625151
0.15000000000000002,801.7777849927704,200.4444462481926,300.6666693722888,11.851899951802347,2.9629749879505867,4.44446248192588,0.037500000000000006,0.015000000000000003,0.12294142186620287,0.375,0.15000000000000002,1.2035052731509814,22.480126096892825,5.573076510561004,7.51068541403096,2.5,1.0,7.51068541403096,879.366806238434,0.0,0.001130643270374329
0.2,802.3703799903606,200.59259499759014,300.8888924963851,11.851899951802347,2.9629749879505867,4.44446248192588,0.0625,0.025000000000000005,0.200716536687723,0.5,0.2,1.5555022964304022,22.324363161226835,5.510618374104502,7.0399404655884155,2.5,1.0,7.0399404655884155,879.9651547758662,0.0,0.0014536492195664358
0.25,802.9629749879507,200.74074374698768,301.11111562048137,11.851899951802347,2.9629749879505867,4.44446248192588,0.09375,0.037500000000000006,0.2949872467998333,0.625,0.25,1.8854142022422056,22.1687400599321,5.448168669209299,6.59823811623607,2.5,1.0,6.59823811623607,880.5516041510836,0.0,0.0017525535228677534
0.30000000000000004,803.5555699855408,200.8888924963852,301.33333874457765,11.851899951802347,2.9629749879505867,4.44446248192588,0.13125,0.052500000000000005,0.40471743582927955,0.75,0.3,2.1946037805889254,22.01324668829959,5.385724919494648,6.1837915669343975,2.5,1.0,6.1837915669343975,881.1265116985046,0.0,0.002028895720270336
0.35000000000000003,804.148164983131,201.03704124578275,301.5555618686739,11.851899951802347,2.9629749879505867,4.44446248192588,0.17500000000000002,0.07,0.5289349345632303,0.875,0.35,2.4843499746790147,21.85787357345028,5.323284804450006,5.794923881801792,2.5,1.0,5.794923881801792,881.6902130586486,0.0,0.002284117188407322
0.4,804.7407599807211,201.18518999518028,301.7777849927702,11.851899951802347,2.9629749879505867,4.44446248192588,0.22500000000000003,0.09000000000000001,0.6667275863932877,1.0,0.39999999999999997,2.7558530366011484,21.702611836491545,5.260846150078416,5.430061238442675,2.5,1.0,5.430061238442675,882.2430234288857,0.0,0.002519567538948754
0.45,805.3333549783113,201.33333874457782,302.00000811686647,11.851899951802347,2.9629749879505867,4.44446248192588,0.28125000000000006,0.11250000000000002,0.8172395547042886,1.125,0.44999999999999996,3.0102393662200186,21.547453156782314,5.198406920057377,5.087726592377401,2.5,1.0,5.087726592377401,882.7852387494086,0.0,0.0027365105849660324
0.5,805.9259499759014,201.48148749397535,302.22223124096274,11.851899951802347,2.9629749879505867,4.44446248192588,0.34375000000000006,0.1375,0.9796678573408761,1.25,0.49999999999999994,3.248566052731751,21.392389738210355,5.135965207393925,4.766533730234639,2.5,1.0,4.766533730234639,883.3171368268153,0.0,0.0029361299061914977
0.55,806.5185449734915,201.6296362433729,302.444454365059,11.851899951802347,2.9629749879505867,4.44446248192588,0.4125000000000001,0.165,1.1532591141972377,1.375,0.5499999999999999,3.4718251371272286,21.23741427738612,5.073519226550769,4.465181687909559,2.5,1.0,4.465181687909559,883.8389783977465,0.0,0.0031195340417008092
0.6000000000000001,807.1111399710817,201.77778499277042,302.6666774891553,11.851899951802347,2.9629749879505867,4.44446248192588,0.4875000000000001,0.195,1.3373064948319517,1.5,0.6,3.680947612694283,21.082519933659977,5.011067306020913,4.1824495113410896,2.5,1.0,4.1824495113410896,884.3510081350466,0.0,0.003287761336351382
0.65,807.7037349686718,201.92593374216796,302.88890061325156,11.851899951802347,2.9629749879505867,4.44446248192588,0.5687500000000001,0.2275,1.531146853813975,1.625,0.65,3.876807179640464,20.927700300871496,4.94860788132859,3.917191338923623,2.5,1.0,3.917191338923623,884.8534555989231,0.0,0.0034417844653011377
0.7000000000000001,808.296329966262,202.0740824915655,303.11112373734784,11.851899951802347,2.9629749879505867,4.44446248192588,0.6562500000000001,0.2625,1.7341580422606195,1.75,0.7000000000000001,4.060223768932892,20.772949380742464,4.886139488435011,3.6683317858485567,2.5,1.0,3.6683317858485567,885.3465361355619,0.0,0.0035825146590911902
0.75,808.8889249638521,202.22223124096303,303.3333468614441,11.851899951802347,2.9629749879505867,4.44446248192588,0.7500000000000001,0.30000000000000004,1.945756384736948,1.875,0.7500000000000001,4.2319668495265645,20.618261557827967,4.823660757528074,3.434861611873442,2.5,1.0,3.434861611873442,885.8304517256194,0.0,0.0037108056500883683
0.8,809.4815199614422,202.37037999036056,303.5555699855404,11.851899951802347,2.9629749879505867,4.44446248192588,0.8500000000000001,0.3400000000000001,2.165394311351142,2.0,0.8000000000000002,4.392758532283882,20.463631575943165,4.761170407175932,3.215833655146332,2.5,1.0,3.215833655146332,886.3053917849763,0.0,0.003827457359534576
0.8500000000000001,810.0741149590324,202.5185287397581,303.77779310963666,11.851899951802347,2.9629749879505867,4.44446248192588,0.95625,0.38250000000000006,2.3925581355047707,2.125,0.8500000000000002,4.543276483072575,20.309054515986226,4.698667238825014,3.010359015773878,2.5,1.0,3.010359015773878,886.7715339200712,0.0,0.003933219343027746
